12:01:56.707450 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at 08:d0:9f:4b:41:c0, length 28
12:01:56.708533 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.19.255 tell 172.27.22.60, length 46
12:01:56.708726 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at ec:e1:a9:af:28:c0, length 28
12:01:56.896729 00:15:17:1f:f1:62 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.28.56 (ff:ff:ff:ff:ff:ff) tell 172.27.28.56, length 46
12:01:56.916319 1c:65:9d:59:11:02 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.254 tell 172.27.28.43, length 46
12:01:57.020896 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.31.255 tell 172.27.22.60, length 46
12:01:57.335518 00:21:5c:1f:5d:a1 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.254 tell 172.27.17.233, length 46
12:01:57.335951 00:21:5c:1f:5d:a1 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.36.1 tell 172.27.17.233, length 46
12:01:57.336082 00:15:17:1f:b8:42 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.22.234 (ff:ff:ff:ff:ff:ff) tell 172.27.22.234, length 46
12:01:57.336377 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 0c:85:25:cb:75:c0, length 28
12:01:57.438950 d8:24:bd:91:5d:40 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.83.41 tell 172.27.16.254, length 46
12:01:57.543829 1c:65:9d:59:11:02 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.254 tell 172.27.28.43, length 46
12:01:57.564159 00:0c:29:20:7d:ea > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.22.14 tell 172.27.22.166, length 46
12:01:57.605975 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at 08:d0:9f:4b:41:c0, length 28
12:01:57.635329 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.19.255 tell 172.27.22.60, length 46
12:01:57.641894 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at ec:e1:a9:af:28:c0, length 28
12:01:57.753782 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 00:24:f9:ff:38:c0, length 28
12:01:57.856287 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 0c:85:25:cb:75:c0, length 28
12:01:57.960827 d8:24:bd:91:5d:40 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.31.255 tell 172.27.16.254, length 46
12:01:57.960962 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.31.255 tell 172.27.22.60, length 46
12:01:58.065280 e4:11:5b:e5:55:f9 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.28.75 tell 172.27.16.1, length 46
12:01:58.065438 3c:ef:8c:68:05:a0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Reply 172.27.14.206 is-at 3c:ef:8c:68:05:a0, length 46
12:01:58.202272 b8:ae:ed:7f:45:9d > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.20.171.254 tell 169.254.67.74, length 46
12:01:58.378868 00:01:a9:02:54:f6 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 192.168.1.1 (ff:ff:ff:ff:ff:ff) tell 172.27.14.81, length 46
12:01:58.483619 00:21:5c:1f:5d:a1 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.254 tell 172.27.17.233, length 46
12:01:58.498782 1c:65:9d:59:11:02 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.254 tell 172.27.28.43, length 46
12:01:58.616198 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at 08:d0:9f:4b:41:c0, length 28
12:01:58.619794 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at ec:e1:a9:af:28:c0, length 28
12:01:58.623423 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at 08:d0:9f:4b:41:c0, length 28
12:01:58.691886 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.19.255 tell 172.27.22.60, length 46
12:01:58.692076 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at ec:e1:a9:af:28:c0, length 28
12:01:58.796507 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 00:24:f9:ff:38:c0, length 28
12:01:58.796604 b8:ae:ed:7f:45:9d > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.20.171.254 tell 169.254.67.74, length 46
12:01:59.006509 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.31.255 tell 172.27.22.60, length 46
12:01:59.214349 00:21:5c:1f:5d:a1 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.254 tell 172.27.17.233, length 46
12:01:59.318840 d8:24:bd:91:5d:40 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.22.215 tell 172.27.16.254, length 46
12:01:59.423059 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 0c:85:25:cb:75:c0, length 28
